seller_id,seller_zip_code_prefix,seller_city,seller_state,total_orders,total_revenue,avg_item_price,avg_rating,seller_tier,on_time_deliveries,on_time_delivery_rate
d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP,41,11703.07,285.44073170731707,4.560975609756097,Silver,39,95.12
e49c26c3edfa46d227d5121a6b6e4d37,55325,brejao,PE,36,3654.25,101.50694444444444,4.416666666666667,Bronze,35,97.22
1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP,33,3987.6,120.83636363636364,4.242424242424242,Bronze,31,93.94
ccc4bbb5f32a6ab2b7066a4130f114e3,80310,curitiba,PR,192,74004.62,385.4407291666666,4.282722513089006,Gold,177,92.19
8cb7c5ddf41f4d506eba76e9a4702a25,75110,anapolis,GO,2,138.0,69.0,3.0,Bronze,1,50.0
a7a9b880c49781da66651ccf4ba9ac38,13530,itirapina,SP,4,307.6,76.9,3.75,Bronze,4,100.0
8bd0f31cf0a614c658f6763bd02dea69,1222,sao paulo,SP,35,4455.34,127.29542857142856,4.205882352941177,Bronze,34,97.14
1444c08e64d55fb3c25f0f09c07ffcf2,42738,lauro de freitas,BA,1,2749.0,2749.0,1.0,Bronze,1,100.0
e38db885400cd35c71dfd162f2c1dbcf,70740,brasilia,DF,32,2066.8,64.5875,4.5,Bronze,29,90.62
d2e753bb80b7d4faa77483ed00edc8ca,45810,porto seguro,BA,15,1320.7,88.04666666666667,3.7,Bronze,14,93.33
4cf490a58259286ada5ba8525ba9e84a,14910,tabatinga,SP,8,1254.2,156.775,3.125,Bronze,7,87.5
f7496d659ca9fdaf323c0aae84176632,4156,sao paulo,SP,27,5087.57,188.4285185185185,4.592592592592593,Silver,25,92.59
2ff97219cb8622eaf3cd89b7d9c09824,13320,salto,SP,96,4476.9,46.634375,4.541666666666667,Bronze,91,94.79
8bd0e3abda539b9479c4b44a691be1ec,98910,tres de maio,RS,13,596.55,45.888461538461534,1.6923076923076923,Bronze,8,61.54
2a1348e9addc1af5aaa619b1a3679d6b,30494,belo horizonte,MG,55,2843.0,51.69090909090909,3.0,Bronze,36,65.45
116ccb1a1604bc88e4d234a8c23f33de,9850,sao bernardo do campo,SP,73,2004.89,27.464246575342468,4.602739726027397,Bronze,71,97.26
430315b7bb4b6e4b3c978f9dfa9b0558,4857,sao paulo,SP,21,3118.4,148.4952380952381,4.0,Bronze,19,90.48
406822777a0b9eb5c50e442dd4cd3ec5,18500,tatui,SP,47,3648.08,77.61872340425532,4.326086956521739,Bronze,41,87.23
4dbd95a08b31ede5c82d3f861cb1ce1a,80210,curitiba,PR,6,1304.67,217.445,3.5,Bronze,4,66.67
e9e446d01bd10a97a8ffcfc4a3a20cb2,2261,sao paulo,SP,4,60.05,15.0125,3.5,Bronze,3,75.0
d52cbce9845184537284a23c3bc3da0e,88495,garopaba,SC,4,75.0,18.75,5.0,Bronze,4,100.0
d9a84e1403de8da0c3aa531d6d108ba6,3562,sao paulo,SP,59,1425.2,24.15593220338983,4.559322033898305,Bronze,55,93.22
9c690ceacd5c66731bf443ea810195cb,37650,camanducaia,MG,12,871.8,72.64999999999999,4.416666666666667,Bronze,12,100.0
1f9ab4708f3056ede07124aad39a2554,17602,tupa,SP,79,13602.73,172.18645569620253,4.089743589743589,Silver,73,92.41
b2a6d334e2833acea353624840e25a0e,4133,sao paulo,SP,26,1650.98,63.49923076923077,4.5,Bronze,26,100.0
d3674f271c91f824f82d24d92011f669,72233,brasilia,DF,20,1718.3,85.91499999999999,4.1,Bronze,18,90.0
